id,order_id,product_id,quantity,unit_price,subtotal
fdab121d-12c0-4a6c-86a1-4008e88b5520,c6fdfc0b-3a9a-4d3e-9153-b1be26f653b9,9dc8e0ec-59e7-4e2e-bb63-64cecf7a1371,15,76,1140
161b6ea7-6806-4a2f-be4a-8dc1e406beec,f7a43f70-dca5-4d29-bb7a-0b5bf6f21381,223d8ca4-286f-4b93-9c11-cb864c02d02b,80,26,2080
f526185c-4737-471c-9523-ccb7f22013a8,301adb5a-6801-4532-b1b5-43a68cf44bda,bb80b66b-f400-49ba-adfe-1cd58f7e977d,86,32,2752
403be12b-fe35-42ee-8b28-54670a4a9c6d,329271a6-5448-4f1d-85b5-8234141094b9,e4fc0fac-721e-44e5-9875-23652f76d04c,53,59,3127
6474072a-b621-4eb9-9828-1937d57a4689,9ccfddbe-96cb-4514-81d3-ba9a3b665de6,e9bbe60a-6088-4685-8c3a-9694e0b55480,39,30,1170
03b11686-0e59-4328-9765-0168cd2349c2,cdb29705-d91a-4222-9665-e2c41fc5f957,ec563cf2-3a51-4967-91c2-53178a34aa9f,96,25,2400
e876f81d-390a-4feb-8feb-7ef37a2c02fe,ecc74b69-0f5c-4614-8d35-386c2b13446c,dee8fb66-1411-4cfc-82bb-2c23b41e2d7d,61,55,3355
ff75338d-7fc7-413d-9eac-0fe7cce3c36f,b6527919-458e-4a8f-8159-9c692800f4cd,94ff6d82-8f89-42f1-8803-044ecfd6bc21,49,75,3675
cdec3417-1443-49b7-80c0-7a1a42727dfb,c7ec80a7-ff66-4a77-84a6-4fd3b689068e,9947691d-aef3-44ce-b48b-efec44349170,43,98,4214
c3560a4a-9028-447c-8f5b-ac9a7f1275d9,59d8a091-669c-4780-97a1-6c49ffedcb5d,5984ed58-e4f2-4ade-97dc-d73caa9cc3b2,22,16,352
61c3d829-1383-40fe-8be7-295594e1005f,455a4726-146e-4320-8b3d-e16e9c6bf7cf,6d3edf44-54b4-41fd-82f8-f608b0261950,87,2,174
04961898-2013-4f7a-a4aa-5e8ea7356165,3518be8e-2d46-422e-9496-dfa5bc325fec,18520621-2425-4165-b0b2-a5edd053f626,63,31,1953
ce7538f1-2a44-418d-9529-9d4cf0aef447,9cbb112d-0b34-4142-9b67-ddb7952a53e6,d48963cb-8794-48c3-821b-937d823b006e,32,89,2848
44e4b452-d435-434d-9049-5d0ca5010add,05832e56-2630-4338-b1ec-11033c7df866,a2804839-9016-4c9c-b08c-76bd01c393d0,28,24,672
8153e5ff-509c-4e46-bf40-5381ea0796bd,e9adaa08-259b-49b3-a382-c68e35238c01,0bee947a-2090-43b1-9831-e78d21e02e9d,31,47,1457
dc387562-ff7e-41cf-8d69-351d8dc23e33,796f365c-fe5f-4408-a5a4-40489c4b5e49,ebe96ef3-2bc1-416b-8d19-30730a2f0000,51,63,3213
3534c68f-8597-42b4-a7bb-967d19b10ed2,38ffe759-abd6-4dc1-836a-9446f7391038,a48867a1-4091-422e-8dc6-2810bbfadc84,65,71,4615
28aa370a-3c82-4d36-9ad2-aad3dd5cff4d,a01993c4-6cd3-46ef-847c-a3196e6b8d21,805f00b0-3a4a-489b-a099-c3d1a31d91f3,72,69,4968
ad21e5f8-744d-4913-bdce-bc523cab4f59,b19ff350-cfba-424b-aa07-9d3535933db7,3e5dec7a-12fa-46c1-99be-d61feeff6929,20,90,1800
27dca60c-12a8-4b21-8292-66ff2a31a97f,58d35cfa-715e-4dca-8447-59b4621e6a66,c4da1bd3-a62f-4d95-ba2b-c73c68bba524,9,89,801
b213645c-8592-4e00-ba91-b86d213fb63b,3d5590cb-7de0-4460-a5b5-b21177a54e2c,bcc102e6-0b68-46c3-a764-5d90b6b7a51f,24,99,2376
174e3abe-1e41-4c8f-9af2-2aeba6b0e1a6,604a0b45-033f-4045-adb8-3acf3c8bcb17,c92fa6b8-8255-4a48-931b-25b5fe9fc717,23,32,736
0ac4d3a4-85e4-43a3-8490-bcf583652b6c,b2359767-cb87-4ee9-805b-42815b3fb29d,633e50d6-c557-4cc0-ba2b-a66173f4ecc9,22,73,1606
ebd6c663-70b5-496e-a249-a25ef22f0333,23eadb99-4f68-4498-82c6-0ef30d453b5a,0907fff2-8137-4139-8c6b-1d407b818dbf,53,94,4982
b57c6718-5231-4ffe-92fd-e77d34cdb4de,fdae8a4e-8177-46f7-91df-15f9238bbd91,831c5bfe-0de6-4c3a-bf1e-0caf3eba8841,2,52,104
0c4183af-4da9-4184-88f7-993dcb7c258f,e864dcd4-2788-40e7-8122-677f58997c63,04702e32-e2b1-4aac-a565-d0619302976b,71,3,213
f601bc5b-0bf6-4a47-b20f-65fa0f1591be,58d35cfa-715e-4dca-8447-59b4621e6a66,f9581467-67aa-4337-97c4-3b7ad54ced35,8,65,520
c2d9a4a2-0948-4930-9db4-ff6f72cdafe0,4015a754-bd96-424a-bdd8-0cd4b5da92f5,11bb76de-89b1-4c3f-b7ea-5de3964f118a,30,6,180
5a2e98f0-2340-4223-9dde-2d026c9ff9e4,e9adaa08-259b-49b3-a382-c68e35238c01,b9a6c98c-c6c9-423c-ab02-08bb858e5fd3,53,14,742
7a63d6a7-95a8-4a00-8419-de3b15df962e,b4e3538f-9e50-4371-8e6a-4e0e2b9a3322,2a669a70-2abf-4db2-91bc-6d7b3ffa7afd,49,51,2499
4d7151fc-c178-46cd-9a5c-6cd59202b9e7,488059f1-7ce9-4fbf-810b-78a992ced028,2dba3ed2-21b4-4401-b653-32d7fcbbfc78,70,23,1610
475ea1b3-c90f-41d8-85bd-542bf4c59161,10bd8320-d2c7-4f9e-9565-47227b7462c6,4c341717-8e9b-4396-b08c-558a10a69944,21,5,105
489ae364-3567-43f2-bb92-668705bdd676,0dc133f1-7c3c-4a08-aea9-5d7b9b3eeb35,ab308f7b-0416-4672-a3ea-7328651f9339,67,79,5293
a81d064d-2725-43d9-bd02-f3c1cb02dda3,ad170b11-33e8-40f1-baca-7ac4a52286c0,42273a1f-212b-45fc-9120-b3ee6e483ed9,78,17,1326
fac88c63-eb32-499e-ac03-78e3f24519dd,28033cbe-51a0-46c8-a2dc-50252c744679,11bb76de-89b1-4c3f-b7ea-5de3964f118a,60,67,4020
05246dbc-2e47-471d-9df4-8ced963afe67,6351c453-98f9-4793-ace0-c687241baf78,bff56621-6113-472c-bfa3-dea40ced3905,10,51,510
485504c1-6dc2-4ea0-a007-d3b83e09656a,58d0a7b1-7447-4f78-9786-c410f432588d,60bd55ba-7e77-45be-8a09-f2ccd890df6c,19,67,1273
9174c5e8-47f4-47d9-814b-cfe84cac14f1,0bfce378-b45a-4d66-9151-4e7df26dcfb0,36ee18ec-c38c-44fd-834a-57e2296b6e58,76,3,228
98691823-16b5-4037-8b41-41656be3f0d4,9f7dc304-648f-4dbf-92fe-5391df7d7480,f1568c34-80bc-438c-97dd-b3707e34ca96,17,71,1207
e078fa2d-8830-4dd1-b76f-3013aaba0430,da21b21e-30e2-4407-8299-09df1133560e,9430f17d-af18-4130-8bd4-4b8be3266a6e,30,60,1800
68eb64c7-a178-4adb-b49e-a8d3d1a515f7,92b99a60-b7ce-419f-9970-9f0f8e13c93d,20001abb-bacb-42e1-9f53-70bc0492db3a,6,23,138
1360a28f-d36e-4737-8e2a-0231b2e1c473,66fc91ec-36da-4472-b038-7dd97f2cfced,18520621-2425-4165-b0b2-a5edd053f626,60,38,2280
