id,order_id,payment_method,amount,transaction_id,paid_at,created_at,updated_at
79a272ef-d09b-4ef1-b4a8-08685ab040ca,82151bd1-1a66-4611-99f4-111e7b57c5a1,check,6599.65,15556875-f158-4eb2-ac76-9dd38cf8926f,2025-08-14,2026-04-21,2025-07-03
3520a746-2a3f-4336-a696-f13ffc5db3e8,80802f72-3d50-4ec0-a591-61ae30dc79a7,pix,4960.38,0fb9fb63-6d3d-4346-b0d3-9a5fc9444f48,2026-03-30,2026-01-21,2025-11-27
53b8ecc1-bd77-421c-ba58-a838b55cd7e3,f18ce207-7a58-4752-945f-64877d48f7b5,debit_card,2264.92,db1ada99-085a-4264-b1e2-8a8963531458,2025-11-04,2026-05-04,2026-03-08
63acf57a-b3ce-45c8-9a7a-eb2b3b95a7d5,6101fb6f-f7ab-4699-9f3a-d0b54c068fcc,debit_card,8625.4,5f9493de-3a1a-4fbb-a941-50ebb9839ae7,2025-12-28,2025-11-18,2025-11-01
fc8f3460-4f47-4b73-8763-929ea69d1cf6,20a3ce32-4f2b-43a1-a2b0-5e252a09d710,check,9568.82,c0539aed-6c79-4663-98eb-2398d997ebc0,2026-01-29,2025-08-30,2025-09-19
f2fe5d88-9e45-46eb-a7d6-7a6eb5ee9f2e,e4ae2717-2d63-4920-bfbf-933a335adfef,credit_card,1582.58,26c02c8d-91f2-4eda-8a55-d98644bb17e4,2025-10-29,2026-03-17,2025-09-23
336126c9-0431-4b0b-a91e-b63d015d5445,7de34403-53c5-425b-a380-d6cf87b96787,debit_card,541.74,d58efd15-a467-4919-9e26-798226dedf36,2025-12-20,2025-09-13,2025-08-18
85aa67da-7319-45a5-ab93-1ae3f6142969,2dd8a3a2-bc87-4cbd-b460-fcf555846f78,pix,8282.75,a2045db4-062b-409a-afe8-9cec2f68675b,2025-06-22,2026-02-21,2025-09-07
3d459010-113e-41a2-b09b-68d4099b71c9,8f62035d-1891-4785-b495-04894a7ebe6c,credit_card,5859.85,c94dfe1c-3860-452e-a430-f72c17561319,2025-07-21,2025-09-26,2026-05-27
1914d0b0-67bd-4c8e-8d2d-c065a0565bc2,32e3adae-cedf-4789-a4a6-17e34c2ce261,pix,8227.76,7618197b-5681-4918-b46a-6a90654deb89,2025-10-19,2025-09-04,2026-01-06
73424a64-4e18-46d3-a2b0-779d69e19533,89aebb63-f6a6-4c89-8e52-1b3b091eac88,check,781.41,b124a481-1797-4638-b30e-437cd69ece94,2026-03-27,2025-07-26,2025-10-18
369a1cca-4a2f-4963-b327-ec213a06017b,51d1e637-681b-4938-b974-a36cac1cbfc8,pix,685.43,4ab57f98-6d04-4fd2-b677-7b9a159ba7ab,2025-11-21,2026-04-04,2025-10-02
29029688-a778-4187-bbd2-9d5f1a088f6f,16d123f9-541f-4aa5-a046-c008a1294b40,credit_card,1749.93,65131157-5f10-422f-861b-f912501b8321,2025-10-14,2026-01-10,2025-09-21
549119b6-8e6d-4d6c-99b5-b3babdc8d0c4,0162b723-91cc-4ecf-9ee4-b589174c4572,check,2680.78,29ccaee4-ca95-434c-aba5-0801aaf1e8a6,2026-04-18,2026-01-31,2025-10-30
da16dc9a-92ba-453f-b9fe-9bc91a0b1499,5a4a0d52-4be9-4013-919c-48f91cf5bffe,debit_card,6630.93,1d8619b3-c91e-4801-bb1a-1e46a571c546,2026-01-04,2026-04-11,2026-01-29
ce0b2a1f-c843-452d-9ba7-ebbe56463a86,3449dc70-62fd-4efb-8c66-f315cf287e95,check,8496.51,0d720dde-ae44-47b1-bc91-aa23bc8aeaf3,2025-09-27,2025-12-16,2025-11-21
13593001-c78d-49b0-ad4a-690f846e6a58,de989ffc-2ba0-4ae0-b0d5-cafc72099d55,pix,2570.85,86ac6388-f432-4923-8d8f-622fddf8ac3d,2025-10-15,2026-01-24,2025-11-27
8ab96a23-af0b-4d6c-9fe4-e319f3b06fba,1f4972bc-c553-4664-958c-c84739cbff86,check,9111.37,0632afca-e93a-4574-b877-c4fb4fe6d048,2025-11-26,2026-03-13,2025-12-25
43a8ba70-05d2-47a0-b70a-a24969c3613e,4e3b5fc7-c078-4b1a-9917-b9bc81c641ab,credit_card,1379.08,a1c45ca8-6b1b-4bf4-9d4c-0ffe315adb2d,2025-10-08,2026-03-09,2026-05-25
d6a19246-fb52-4fb4-8cde-a3a857a8304e,6d83e150-6201-474a-9438-b5e71410dcb4,check,9957.71,fa33988d-8bab-4bb1-928d-ada9be1f518b,2025-08-18,2025-07-02,2025-11-16
9d866428-c7de-4594-914d-902ebf851813,d77d6403-e07f-4209-93a6-9672613fe88a,credit_card,5904.32,86db87d4-ca7f-4ad1-8ffb-b209f85c372e,2025-10-21,2026-01-01,2025-09-12
2d2f8ee3-ae1a-44a0-9836-a9445e00c23f,3b023c4d-7764-407c-b33b-7e9a1dc8395c,pix,8567.06,6c35f568-0eee-4397-a1ab-63ae0e931a92,2026-05-27,2025-06-06,2025-10-07
0c1a7ab9-8b01-43e5-b790-c40811367ae3,136ba8f7-58f6-400e-987a-3d6c4153bc56,check,3624.21,2ac1b961-bc54-4315-9a7e-da9e482e7ba9,2026-01-16,2025-10-26,2026-03-24
5f35743c-7282-4a31-ba0a-fabd1a460248,9d4bc32a-d632-4a27-89ea-d5daeffd2318,check,7397.6,621ccb20-37ea-47a6-b355-8d0406b9be78,2025-08-23,2026-04-25,2025-06-12
d44d1d8d-16e1-4d5d-962f-3c5a0c89dcb5,a25c1503-f713-4436-a793-e2ef8372aa8b,credit_card,7054.17,62704a40-87f3-44cc-9d60-5f3338236dc0,2026-05-24,2025-10-15,2025-12-16
7697ec01-113a-4c33-b4e7-18132619e684,460251f6-eaf0-475c-bb66-cec56a8c57c5,check,6229.54,fff475ce-3f09-4562-8aca-ef4a07898f62,2026-03-17,2025-11-23,2026-02-01
4241f0c2-d0ac-48d5-b89b-246755fbad98,3143abfe-9694-486f-976e-8ab22a453d50,debit_card,1763.02,c8a307bb-2b8a-4ec2-a502-aa0ae442e303,2026-02-20,2026-04-01,2025-09-23
64483419-f015-4194-940d-53df1a19c8fa,7b95ab83-9dba-4343-801d-c568768e9fd9,credit_card,1581.63,3cfa4152-6380-465b-81c6-e122fa2cc893,2025-08-26,2025-07-25,2025-09-14
b4966b5d-a959-4444-8c3d-7635d05eead5,18de7b04-236a-4d7b-8aa6-5e376e5775f8,debit_card,8863.95,a9d73f7b-ef8e-4f1c-b1b0-436cedeeeef6,2026-05-11,2026-04-12,2025-06-11
8ccbaa6a-0d7b-4822-8e59-e38a72ce0e77,f32ce43a-8c3e-458b-ba00-820f387c31eb,credit_card,4213.45,1f28339a-c927-4abb-b8e3-ae5fd1029301,2025-07-23,2026-05-28,2025-10-16
ddf90f08-bcbe-4465-a4ec-1a2bfe4bf741,79b4f34e-5f21-4c75-b29d-c9e34396581a,check,1639.78,643b6907-3039-4833-b1e5-0b99da51ef6c,2026-05-21,2026-01-28,2025-08-23
89a899ff-5885-48c5-b902-81e48e21b63a,20167e09-f80f-4609-8946-0d283173a222,pix,320.15,3ddb942e-0243-4a0b-903b-73550858d54d,2025-12-12,2025-10-12,2025-10-13
bfbeadaa-f7c5-4d31-828e-bffaa8cf67bb,999d658e-88d9-4a3b-b593-9b80ba09a119,debit_card,8739.43,1a49b4c1-a9ad-4d07-9ff6-d72c47fbb5fa,2026-01-21,2026-03-12,2025-11-08
42e40ddf-53d9-4f3f-9b9a-1533d068563a,bc435eb3-7176-4a08-bf19-b762caf5468b,pix,2243.85,5e4731aa-9961-4098-9f20-adbe4fdb2fdc,2025-07-07,2025-09-17,2025-11-17
8724c5c8-25b8-442a-ad6e-d184e331b27e,203d0609-1544-46b7-b538-fbe278b389bb,check,2631.21,ee443354-b87b-4a72-a321-90ac3274b970,2026-02-26,2025-06-01,2025-08-10
e037b8ca-11df-4026-a02c-39594ca9202c,9d4bc32a-d632-4a27-89ea-d5daeffd2318,debit_card,7397.6,fc285903-0ba6-42fa-ba3d-5f4b522c193c,2026-02-03,2025-08-03,2025-12-16
ee5d31fb-5fcc-4e8c-9001-b7ea98c19433,14dd4f3f-d877-42e4-b51c-4f85bd554cc1,pix,9781.86,51ccfeab-8520-4f6a-bc9d-dca7a319d714,2025-09-03,2026-04-20,2025-10-19
